0.01,75.8
0.02,37.7
0.03,31.1
0.04,32.0
0.05,30.1
0.06,30.9
0.07,29.9
0.08,37.5
0.09,30.9
0.1,30.1
0.11,30.2
0.12,30.5
0.13,30.0
0.14,30.2
0.15,30.9
0.16,33.0
0.17,30.0
0.18,30.2
0.19,30.2
0.2,30.2
0.21,38.8
0.22,36.3
0.23,37.0
0.24,37.1
0.25,37.2
0.26,35.8
0.27,36.6
0.28,36.6
0.29,39.9
0.3,37.9
0.31,36.8
0.32,37.1
0.33,37.3
0.34,36.1
0.35,36.5
0.36,38.0
0.37,36.9
0.38,37.8
0.39,36.8
0.4,36.4
0.41,37.9
0.42,35.2
0.43,37.3
0.44,35.4
0.45,35.7
0.46,51.2
0.47,49.1
0.48,47.4
0.49,48.0
0.5,48.7
0.51,48.5
0.52,48.8
0.53,48.6
0.54,47.9
0.55,48.6
0.56,48.2
0.57,47.7
0.58,48.1
0.59,47.6
0.6,49.2
0.61,49.5
0.62,49.0
0.63,47.7
0.64,49.0
0.65,48.4
0.66,48.9
0.67,49.0
0.68,50.6
0.69,49.6
0.7,49.4
0.71,49.1
0.72,47.5
0.73,50.0
0.74,49.6
0.75,47.8
0.76,47.1
0.77,50.2
0.78,48.8
0.79,48.8
0.8,47.1
0.81,47.9
0.82,49.2
0.83,49.0
0.84,48.9
0.85,49.0
